abre;nom_IBD
ADAM;Achnanthidium atomoides
ADCV;Achnanthidium caravelense
ADMC;Achnanthidium microcephalum
ADMI;Achnanthidium minutissima groupe 
ADMO;Achnanthidium delmontii
ADRU;Achnanthidium druartii
ADSK;Achnanthidium subhudsonis var. kraeuselii
ADTC;Achnanthidium tropicocatenatum
AFBA;Adlafia baicalensis
AHOF;Achnanthidium hoffmannii
ALBL;Adlafia langebertalotii
AMCD;Amphora macedoniensis
AZHA;Achnanthidium zhakovschikovii
CBPY;Cymbopleura pyrenaica
CEXF;Cymbella excisiformis
CLTL;Cymbella lancettula
CEUO;
COCO;
CPLA;Coconeis anciennement placentula
CROU;Cocconeis rouxii
CSBH;Cymbella subhelvetica
CSUT;Cymbella subtruncata var. subtruncata
CTDE;Cymbella tridentina
EARB;Eunotia arcubus var. arcubus
EBNA;Encyonema bonapartei
ECAL;Encyonopsis alpina
ECTO;Eunotia cantonati
EJUE;Eunotia juettnerae
ENEE;Encyonopsis neerlandica
ENSI;Encyonema simile
EPSG;Eunotia pseudogroenlandica
FCAD;Fragilaria candidagilae
FCAN;Fragilaria canariensis
FGRA;Fragilaria gracilis
FMIV;Fragilaria microvaucheriae
FNEV;Fragilaria nevadensis
FNIN;Fragilaria neointermedia
FPRU;Fragilaria pararumpens
FPDE;Fragilaria perdelicatissima
GAGV;Gomphonema angustivalva
GAUR;Gomphonema auritum
GCUN;Gomphonema cuneolus
GINN;Gomphonema innocens
GMIS;Gomphonema minusculum
GPPY;Gomphonema parapygmaeum
GPUM;Gomphonema pumilum  groupe 
GTNO;Gomphonema tenoccultum
GVRD;Gomphonema varioreduncum
HPDA;Hippodonta pseudacceptata
HRUT;Hippodonta ruthnielseniae
HTHU;Halamphora thumensis
LHLU;Luticola hlubikovae
NDFO;Navicula difficillimoides
NPHP;Navicula phylleptosoma
NSBN;Navicula subalpina
NSTS;Nitzschia soratensis
NYCO;Nitzschia costei
PLRC;Planothidium reichardtii
PMNT;Planothidium minutissimum
POVA;Punctastriata ovalis
PRBS;Pseudostaurosira robusta
PSOT;Pseudostaurosira sopotensis
PSPO;Pseudostaurosira polonica
PSXO;Platessa saxonica
SBOS;Sellaphora bosniaca
SNIG;
SEAT;
SCRA;Sellaphora crassulexigua
SECA;Sellaphora capitata
SESP;Sellaphora saprotolerans
SPDV;Sellaphora pseudoarvensis
SRAE;Sellaphora raederae
SSBG;Sellaphora schaumburgii
