"id_auto";"SANDRE";"auteur_apa";"cd_apa"
119855;"6880";"REF_OMNIDIA";"ACOA"
119863;"6904";"REF_OMNIDIA";"AEXI"
119909;"7065";"REF_OMNIDIA";"ATRI"
119917;"7075";"REF_OMNIDIA";"ADLA"
119960;"6601";"REF_OMNIDIA";"AHEM"
119966;"7081";"REF_OMNIDIA";"APEL"
119972;"9403";"REF_OMNIDIA";"AMPI"
119977;"7085";"REF_OMNIDIA";"ACRE"
119981;"7087";"REF_OMNIDIA";"AORN"
119987;"9404";"REF_OMNIDIA";"AMPO"
119989;"7091";"REF_OMNIDIA";"AACU"
119992;"7092";"REF_OMNIDIA";"AAEQ"
119994;"7093";"REF_OMNIDIA";"ABIG"
119996;"7094";"REF_OMNIDIA";"ABRH"
120000;"7098";"REF_OMNIDIA";"ACDU"
120002;"7099";"REF_OMNIDIA";"ACPE"
120004;"7100";"REF_OMNIDIA";"ACOM"
120006;"7102";"REF_OMNIDIA";"AMDL"
120008;"7103";"REF_OMNIDIA";"AMDE"
120023;"7127";"REF_OMNIDIA";"ANST"
120045;"7140";"REF_OMNIDIA";"ASCO"
120084;"9521";"REF_OMNIDIA";"ASTE"
120099;"9483";"REF_OMNIDIA";"ATTH"
120101;"8553";"REF_OMNIDIA";"AUAL"
120107;"8555";"REF_OMNIDIA";"AUDI"
120110;"8560";"REF_OMNIDIA";"AGCU"
120112;"8561";"REF_OMNIDIA";"AUGA"
120115;"8562";"REF_OMNIDIA";"AGVA"
120117;"8564";"REF_OMNIDIA";"AUIS"
120124;"8569";"REF_OMNIDIA";"AITE"
120127;"8571";"REF_OMNIDIA";"AULV"
120133;"8573";"REF_OMNIDIA";"ALAL"
120136;"8574";"REF_OMNIDIA";"AUPE"
120141;"8576";"REF_OMNIDIA";"AUSU"
120178;"7150";"REF_OMNIDIA";"BRUT"
120183;"9407";"REF_OMNIDIA";"BERK"
120234;"7154";"REF_OMNIDIA";"BARC"
120246;"8581";"REF_OMNIDIA";"BCOR"
120275;"9415";"REF_OMNIDIA";"CAER"
120278;"7164";"REF_OMNIDIA";"CAPS"
120281;"7165";"REF_OMNIDIA";"CAAG"
120284;"7167";"REF_OMNIDIA";"CASS"
120286;"7168";"REF_OMNIDIA";"CAAE"
120288;"7169";"REF_OMNIDIA";"CACO"
120290;"7170";"REF_OMNIDIA";"CAFE"
120295;"7172";"REF_OMNIDIA";"CABU"
120297;"7173";"REF_OMNIDIA";"CCHA"
120299;"7174";"REF_OMNIDIA";"CCLE"
120304;"7181";"REF_OMNIDIA";"CALE"
120306;"7183";"REF_OMNIDIA";"CMOL"
120309;"7184";"REF_OMNIDIA";"CAOB"
120311;"7185";"REF_OMNIDIA";"CPRM"
120316;"7189";"REF_OMNIDIA";"CSLA"
120319;"7190";"REF_OMNIDIA";"CSIL"
120322;"7191";"REF_OMNIDIA";"CSGB"
120325;"7192";"REF_OMNIDIA";"CSLI"
120327;"7193";"REF_OMNIDIA";"CSIT"
120331;"7195";"REF_OMNIDIA";"CATE"
120334;"7196";"REF_OMNIDIA";"CTHE"
120336;"7197";"REF_OMNIDIA";"CAVE"
120349;"7200";"REF_OMNIDIA";"CBIC"
120351;"7201";"REF_OMNIDIA";"CCBI"
