abre;nom_IBD;avis_profil_valid_S_B;Profil_similaire_S_B;avis_profil+E1_N51_valid_JM_V;Profil_similaire_JM_V;avis_profil_valid_R_C;Profil_similaire_R_C;avis_profil_valid_V_P;Profil_similaire_V_P;avis_profil_valid_D_H;Profil_similaire_D_H;avis_profil_valid_S_Q;Profil_similaire_S_Q;Profil_assoc;Abondance;;
ADAM;Achnanthidium atomoides;;;;;;;;;Taxon peu repandu mais quand present souvent en abondance notable (10 a 50%);?;;;;10 a 50 %;;
ADCV;Achnanthidium caravelense;;;;;;;;;;;Taxon bien presents en quantite parfois non  negligeable dans certains inventaires;?;;Non negligeable;;
ADMC;Achnanthidium microcephalum;;;;;;;;;"Taxon correspondant souvent a l'essentiel des ""ADMI"" sens large en conditions plutôt moyennes. Le profil d'ADMI surevalue nettement la qualite dans ces inventaires.";ADSA;;;ADSA;;;
ADMI ;Achnanthidium minutissima groupe ;;;;;;;voir si l'on peut creer un profil generique pour ADMI goupe et ne mettre ADMI que pour ADMI sensu stricto;;;;;;ADMI;;;
ADMO;Achnanthidium delmontii;exemple, pas pris en compte de l'ibd;ADMI;;;;;;;Taxon devenu tres frequent depuis 2008. Souvent trouve en codominance avec ADMI s.l.;ADMI;;;ADMI;;;
ADRU;Achnanthidium druartii;;;;;;;;;Taxon peu repandu (essentiellement milieux modifies ou canaux) mais quand present souvent en abondance notable (5 a 20%);?;;;;5 a 20%;;
ADSK;Achnanthidium subhudsonis var. kraeuselii;;;;;;;calquer son profil sur celui ADSH en revisant aussi celui-ci;ADSH;;;;;ADSH;;;
ADTC;Achnanthidium tropicocatenatum;;;;;;;Bien present en Bourgogne de moins bonne qualite que ADCT ou revoir aussi celui-ci;ADCT;;;;;ADCT;;;
AFBA;Adlafia baicalensis;;;;;;;;;;;Taxon bien presents en quantite parfois non  negligeable dans certains inventaires;?;;Non negligeable;;
AHOF;Achnanthidium hoffmannii;;;;;;;;;"Taxon tres repandu dans les massifs siliceux du Grand Est et le Limousin; a voir si profil different d'ADMC et ADMI s.l.";ADMI;;;ADMI;;;
ALBL;Adlafia langebertalotii;;;;;;;;;Taxon repandu et souvent en abondance notable (5 a 30%);?;;;;5 a 30%;;
AMCD;Amphora macedoniensis;;;;;;;;;;;Taxon bien presents en quantite parfois non  negligeable dans certains inventaires;?;;Non negligeable;;
AZHA;Achnanthidium zhakovschikovii;;;;;;;On le confond souvent avec APFI, ils sont dans les mêmes types de cours d'au calcaire propre donc autant qu'ils aient le même profil;APFI;Taxon souvent peu repandu et localise, mais en abondance notable (2 a 12%);APFI;;;APFI;2 a 12%;;
CBPY;Cymbopleura pyrenaica;;;;;Sur la periode 2019-2021, abondant jusqu’a 2,5%;?;;;;;;;;jusqu’a 2,5%;;
CEXF;Cymbella excisiformis;;;;;Sur la periode 2019-2021, abondant jusqu’a 8%;Meilleur que CAFF;;;;;;;CAFF;jusqu’a 8%;;
CLTL;Cymbella lancettula;;;;;Sur la periode 2019-2021, abondant jusqu’a 1,5%;?;;;;;;;;jusqu’a 1,5%;;
CEUO;;;;;;;;;;;;;;;;;
COCO;;;;;;;;;;;;;;;;;
CPLA;Coconeis anciennement placentula;;;Mettre le profil actuel de CPLA a ce COCO et calculer un nouveau profil pour ce CPLA sensu Jahn (ancien CEUO);;;;Lui reattribuer un code et creer un profil en general celui du CPLA de Jahn et al. 2009 ;;;;;;CPLA;Parfois > 50%;;
CROU;Cocconeis rouxii;;;Tres peu frequent mais parfois tres dominant (>50%);COPL ?;;;;;;;;;COPL;jusqu’a 3,5%;;
CSBH;Cymbella subhelvetica;;;;;Sur la periode 2019-2021, abondant jusqu’a 3,5%;CHEL ?;;;;;;;CHEL;jusqu’a 22,25%;;
CSUT;Cymbella subtruncata var. subtruncata;;;;;Sur la periode 2019-2021, abondant jusqu’a 22,25%;?;;;;;;;;jusqu’a 4,25%;;
CTDE;Cymbella tridentina;;;;;Sur la periode 2019-2021, abondant jusqu’a 4,25%;?;;;;;;;;;;
EARB;Eunotia arcubus var. arcubus;;;;;;;;;Taxon peu repandu mais dans des milieux de bonne qualite (max 5%). Souvent confondu par la passe avec EARC. Voir si ecologie differente pour ces deux taxons, sinon on peut renvoyer a EARB le profils de EARC dans une prochaine table de transcodage.;EARC ?;;;EARC;5 a 30%;;
EBNA;Encyonema bonapartei;;;;;;;;;Taxons peu repandu (surtout canaux), mais en forte abondance quand present (5 a 30%);?;;;;jusqu’a 43,75%;;
ECAL;Encyonopsis alpina;;;;;Sur la periode 2019-2021, abondant jusqu’a 43,75%;ECPM;;;;;;;ECPM;;;
ECTO;Eunotia cantonati;;;;;;;Separe d'E. bilunaris mais laisser le même profil;EBIL;;;;;EBIL;;;
EJUE;Eunotia juettnerae;;;;;;;Separe d'E. bilunaris mais laisser le même profil;EBIL;;;;;EBIL;jusqu’a 3%;;
ENEE;Encyonopsis neerlandica;;;;;Sur la periode 2019-2021, abondant jusqu’a 3%;?;;;;;;;;2 a 20%;;
ENSI;Encyonema simile;;;;;;;;;Taxon assez frequent dans le massif Vosgien et le Limousin, en abondance parfois notable (2 a 20%);?;;;;;;
EPSG;Eunotia pseudogroenlandica;;;;;;;lui donner un profil d'un Eunotia qui donne du 20/20 en IBD;EMIN ou autre;;;;;EMIN;Non negligeable;;
FCAD;Fragilaria candidagilae;;;;;;;;;;;Tres present;?;;Non negligeable;;
FCAN;Fragilaria canariensis;;;;;;;;;;;Tres present;?;;;;
FGRA;Fragilaria gracilis;;;;;;;Voir si on change deja le profil Bart a-t-il sorti son article? ;;;;;;;Non negligeable;;
FMIV;Fragilaria microvaucheriae;;;;;;;;;;;Taxon bien presents en quantite parfois non  negligeable dans certains inventaires;?;;2 a 25%;;
FNEV;Fragilaria nevadensis;;;;;;;;;Taxon assez frequent dans les rivieres du massif Vosgien et le Limousin, en tres bon etat le plus souvent (parfois en plus mauvais etat en tête de cours d’eau ), en abondance parfois notable (2 a 25%);?;;;;15 a 20%;;
FNIN;Fragilaria neointermedia;;;;;;;;;Taxon peu repandu (planctonique) mais parfois present dans certains canaux jusque 15~20%;?;Taxon bien presents en quantite parfois non  negligeable dans certains inventaires;?;;;;
FPRU;Fragilaria pararumpens;;;Le renvoi au profil actuel donne du 20/20 mais on le trouve aussi dans des rivieres de moins bonne qualite. Lui calculer un profil propre.;;;;;;Suffisamment de donnees maintenant pour ne plus l'apparier et renvoyer au profil de FCRP et lui calculer un profil propre.;;;;;jusqu’a 20,75%;;
FPDE;Fragilaria perdelicatissima;;;;;Sur la periode 2019-2021, abondant jusqu’a 20,75%;FDEL ?;;;;;;;FDEL;< 5%;;
GAGV;Gomphonema angustivalva;;;;;;;;;Taxon peu repandu, present plutôt dans les stations de reference, <5%;?;;;;;;
GAUR;Gomphonema auritum;;;;;;;;;;;;;;5 a 35%;;
GCUN;Gomphonema cuneolus;;;;;;;;;Taxon plutôt repandu, en abondance parfois notable (5 a 35%);?;;;;Non negligeable;;
GINN;Gomphonema innocens;;;;;;;;;;;Taxon bien presents en quantite parfois non  negligeable dans certains inventaires;?;;jusqu'a 17,78%;;
GMIS;Gomphonema minusculum;;;;;Sur la periode 2019-2021, abondant jusqu’a 17,78%;GELG ?;;;;;;;GELG;Assez frequent en milieu acides;;
GPPY;Gomphonema parapygmaeum;;;;;;;Devient assez frequent dans les stations de Bourgogne Franche-Comte, milieux legerement acides bons;;;;;;;;;
GPUM;Gomphonema pumilum  groupe ;;;voir si l'on peut creer un profil generique pour GPUMsl et ne mettre GPUM que pour GPUM var pumilum;?;;;;;;;;;;jusqu'a 1,5%, ;;
GTNO;Gomphonema tenoccultum;;;;;Sur la periode 2019-2021, abondant jusqu’a 1,5%;TB qualite;;;;;;;;< 5%;;
GVRD;Gomphonema varioreduncum;;;;;;;;;Taxon tres present en Limousin, peu repandu en Rhin-Meuse (sauf torrent vosgien en tête de bassin), souvent en abondance faible (<5%) mais caracteristique des stations en tres bon etat.;?;;;;5,90%;;
HPDA;Hippodonta pseudacceptata;;;;;;;;;"Veronique Vassal _ Sur la periode 2019-2021, abondant jusqu’a 5,9 % ; DH _ assez repandu en Rhin-Meuse mais quasi toujours en faible abondance";NGRE ?;;;NGRE;Non negligeable;;
HRUT;Hippodonta ruthnielseniae;;;;;;;;;;;Peu frequent mais en quantite non negligeable dans certains inventaires;?;;jusq'a 2%;;
HTHU;Halamphora thumensis;;;;;Sur la periode 2019-2021, abondant jusqu’a 2%;?;;;;;;;;;;
LHLU;Luticola hlubikovae;;;;;;;;;Taxon souvent confondu par la passe avec LGOE, voir si ces deux especes ont des ecologiques differentes.;LGOE ?;;;LGOE;Tres present;;
NDFO;Navicula difficillimoides;;;;;;;;;;;Tres present;?;;Non negligeable;;
NPHP;Navicula phylleptosoma;;;;;;;;;;;Peu frequent mais en quantite non negligeable dans les inventaires;?;;jusqu a 2,5%;;
