"ABRE";"DENOMINATIONS.SANS.AUTEUR";"FAMILLE";"GENRE";"ESPECE";"CodeValid";"CodeValidAnormale"
"ABAS";"ABAS";"CE";"ABAS";"ABAS";"ABAS";"ABAS"
"ACAN";"ACANTHOCERAS";"CE";"ACANTHOCERAS";"ACANTHOCERAS";"ACAN";"ACAN"
"ACAD";"ACANTHODISCUS";"CE";"ACANTHODISCUS";"ACANTHODISCUS";"ACAD";"ACAD"
"ACTP";"ACHNANTHEIOPSIS";"MO";"ACHNANTHEIOPSIS";"ACHNANTHEIOPSIS";"ACTP";"ACTP"
"ACHN";"ACHNANTHES";"MO";"ACHNANTHES";"ACHNANTHES";"ACHN";"ACHN"
"ACHD";"ACHNANTHIDIUM";"MO";"ACHNANTHIDIUM";"ACHNANTHIDIUM";"ACHD";"ACHD"
"ACTI";"ACTINELLA";"BR";"ACTINELLA";"ACTINELLA";"ACTI";"ACTI"
"ANLO";"ACTINELLOPSIS";"BR";"ACTINELLOPSIS";"ACTINELLOPSIS";"ANLO";"ANLO"
"ACTC";"ACTINOCYCLUS";"CE";"ACTINOCYCLUS";"ACTINOCYCLUS";"ACTC";"ACTC"
"ATYO";"ACTINODICTYON";"CE";"ACTINODICTYON";"ACTINODICTYON";"ATYO";"ATYO"
"ACTD";"ACTINODISCUS";"CE";"ACTINODISCUS";"ACTINODISCUS";"ACTD";"ACTD"
"ACTN";"ACTINOPTYCHUS";"CE";"ACTINOPTYCHUS";"ACTINOPTYCHUS";"ACTN";"ACTN"
"ADLF";"ADLAFIA";"NA";"ADLAFIA";"ADLAFIA";"ADLF";"ADLF"
"ADON";"ADONEIS";"AR";"ADONEIS";"ADONEIS";"ADON";"ADON"
"AFCY";"AFROCYMBELLA";"NA";"AFROCYMBELLA";"AFROCYMBELLA";"AFCY";"AFCY"
"AGGE";"AGGERICORONA";"CE";"AGGERICORONA";"AGGERICORONA";"AGGE";"AGGE"
"AILU";"AILURETTA";"CE";"AILURETTA";"AILURETTA";"AILU";"AILU"
"ALTA";"ALTANA";"NA";"ALTANA  ";"ALTANA";"ALTA";"ALTA"
"ALVF";"ALVEOFLEXUS";"CE";"ALVEOFLEXUS";"ALVEOFLEXUS";"ALVF";"ALVF"
"ALVP";"ALVEOLOPHORA";"CE";"ALVEOLOPHORA";"ALVEOLOPHORA";"ALVP";"ALVP"
